N5.txt,N4.txt,N3.txt,N2.txt,N1.txt
会う,あ,愛,あいかわらず,嗚呼
青,ああ,愛情,アイデア,相
青い,間,合図,あいまい,相変わらず
赤,合う,愛する,遭う,愛想
赤い,あかちゃん,相手,扇ぐ,相対
明るい,上る,あいにく,青白い,間柄
秋,赤ん坊,明かり,あかんぼう,愛憎
開く,空く,空き,明き,合間
開ける,あげる,明らか,あきれる,曖昧
上げる,浅い,諦める,アクセント,敢えて
朝,味,飽きる,あくび,仰ぐ
朝御飯,明日,握手,飽くまで,垢
あさって,遊び,悪魔,明け方,亜科
足,集る,明ける,揚げる,銅
明日,集める,預ける,挙げる,証
あそこ,謝る,汗,あげる,赤字
遊ぶ,安心,与える,憧れる,明かす
暖かい,安全,暖かい,足跡,赤ちゃん
頭,あんな,辺り,味わう,明白
新しい,以下,当たる,預かる,赤らむ
あちら,以外,あちこち,暖まる,明るい
暑い,医学,あっ,暖める,上がり
熱い,生きる,扱う,あたりまえ,上がる
厚い,意見,集まり,あちら,商人
あっち,石,当てる,あちらこちら,空間
後,いじめる,跡,厚かましい,諦め
あなた,以上,穴,圧縮,呆れる
兄,急ぐ,浴びる,宛名,悪
姉,致す,油,あてはまる,灰
あの,一度,余り,あてはめる,あくどい
あの,一生懸命,誤り,暴れる,悪日
アパート,いっぱい,粗い,脂,明くる
あびる,糸,嵐,あぶる,憧れ
危ない,以内,新た,あふれる,顎
甘い,田舎,あらゆる,雨戸,麻
あまり,祈る,表す,甘やかす,明後日
雨,いらっしゃる,現す,余る,朝寝坊
飴,植える,現れ,編物,浅ましい
洗う,受付,現れる,編む,字
ある,受ける,ありがとう,危うい,欺く
歩く,動く,有る,怪しい,鮮やか
あれ,うち,或,荒い,あざ笑う
いい,打つ,あるいは,粗い,味わい
いいえ,美しい,泡,あらすじ,東
言う,写す,合わせる,争う,焦る
家,移る,哀れ,改めて,彼処
いかが,腕,案,改める,値
行く,裏,暗記,著す,値する
いくつ,売り場,安定,有難い,私
いくら,うん,案内,在る,当たり
池,運転手,あんなに,あれこれ,当たり前
医者,枝,あんまり,あわただしい,他人
いす,選ぶ,胃,あわてる,彼方此方
忙しい,遠慮,委員,安易,彼方
痛い,おいでになる,いえ,案外,彼方此方
一,お祝い,意外,アンテナ,悪化
一日,おかげ,息,言い出す,呆気ない
いちばん,おかしい,行き,言い付ける,悪口
いつ,億,勢い,意義,あっさり
五日,屋上,生き物,生き生き,圧迫
一緒,贈り物,幾つ,いきなり,扱い
五つ,送る,幾ら,育児,集まる
いつも,遅れる,いけない,幾分,誂える
犬,起す,医師,生け花,圧力
今,行う,意思,以後,当て
意味,怒る,意志,以降,宛
妹,押し入れ,維持,イコール,当て字
嫌,お嬢さん,意識,勇ましい,当てはまる
入口,お宅,異常,衣食住,当てはめる
居る,落ちる,椅子,意地悪,宛てる
要る,おっしゃる,泉,いちいち,跡継ぎ
入れる,夫,いずれ,一応,後回し
色,おつり,以前,一段と,貴女
いろいろ,音,板,一流,彼の
上,落す,偉大,佚,溢れる
後ろ,踊り,抱く,一昨日,油絵
薄い,踊る,いたずら,一昨年,炙る
歌,驚く,いただきます,一斉,あべこべ
歌う,お祭り,頂く,一旦,甘える
生まれる,お見舞い,痛み,一定,甘口
海,お土産,至る,いってらっしゃい,雨具
売る,思い出す,市,いってまいります,天
